"pre","post","ACD_avg","ACD_max","ACD_sum","FOUT_avg","FOUT_max","FOUT_sum","MLOC_avg","MLOC_max","MLOC_sum","NBD_avg","NBD_max","NBD_sum","NOCU","NOF_avg","NOF_max","NOF_sum","NOI_avg","NOI_max","NOI_sum","NOM_avg","NOM_max","NOM_sum","NOT_avg","NOT_max","NOT_sum","NSF_avg","NSF_max","NSF_sum","NSM_avg","NSM_max","NSM_sum","PAR_avg","PAR_max","PAR_sum","TLOC_avg","TLOC_max","TLOC_sum","VG_avg","VG_max","VG_sum"
11,"1",1.22222222222222,11,11,6.81818181818182,39,525,10.9350649350649,61,842,1.85714285714286,6,143,9,1.8,16,18,0,0,0,7.6,34,76,1,1,9,0.7,5,7,0.1,1,1,1.4025974025974,5,108,137,546,1233,2.68831168831169,10,207
0,"1",0,0,0,2.54545454545455,17,56,4.36363636363636,19,96,1.27272727272727,3,28,5,1.4,3,7,0,0,0,4.4,6,22,1,1,5,0,0,0,0,0,0,1,3,22,38,52,190,1.54545454545455,5,34
23,"1",1.41666666666667,14,51,4.30043859649123,56,1961,7.01535087719298,75,3199,1.4890350877193,5,679,36,3.01639344262295,43,184,0.111111111111111,1,4,7.11475409836066,77,434,0.888888888888889,1,32,0.967213114754098,16,59,0.360655737704918,11,22,0.890350877192982,7,406,139.916666666667,1023,5037,2.19736842105263,16,1002
5,"1",0.6,4,6,4.04123711340206,80,392,6.81443298969072,118,661,1.5979381443299,7,155,10,1.75,12,21,0.1,1,1,4.33333333333333,18,52,0.9,1,9,0.25,2,3,3.75,10,45,1.44329896907216,7,140,104.2,241,1042,2.45360824742268,32,238
5,"0",1.8,5,18,6.45508982035928,64,1078,10.3652694610778,63,1731,2.02395209580838,8,338,10,4.5,15,63,0.1,1,1,11.0714285714286,37,155,0.9,1,9,1.71428571428571,8,24,0.857142857142857,3,12,0.820359281437126,4,137,243.2,748,2432,2.76047904191617,12,461
1,"0",0,0,0,0.4,2,4,0.6,2,6,0.2,1,2,2,0,0,0,0.5,1,1,4,8,8,0.5,1,1,1.5,3,3,1,2,2,1.8,5,18,12,14,24,0.2,1,2
0,"0",0,0,0,0.492957746478873,7,35,1.02816901408451,10,73,0.338028169014085,1,24,3,0,0,0,0.666666666666667,1,2,8,27,48,0.333333333333333,1,1,3.66666666666667,20,22,3.83333333333333,23,23,0.76056338028169,7,54,61,120,183,0.394366197183099,3,28
0,"0",0,0,0,1,2,62,1.32258064516129,5,82,1.01612903225806,2,63,4,1,1,4,0,0,0,15.5,30,62,1,1,4,0,0,0,0,0,0,0.629032258064516,7,39,58.5,110,234,1.11290322580645,2,69
1,"1",0,0,0,4.66666666666667,11,28,5.83333333333333,13,35,1.66666666666667,2,10,1,2,2,2,0,0,0,5,5,5,1,1,1,1,1,1,1,1,1,0.666666666666667,1,4,59,59,59,1.66666666666667,3,10
1,"0",0,0,0,7.93939393939394,70,1048,11.3863636363636,110,1503,1.77272727272727,6,234,5,4,7,36,0.2,1,1,14.3333333333333,34,129,0.8,1,4,8.77777777777778,62,79,0.333333333333333,2,3,1.08333333333333,5,143,386.6,957,1933,4.33333333333333,33,572
4,"1",0,0,0,2.40384615384615,17,250,4.04807692307692,30,421,1.28846153846154,4,134,10,1.18181818181818,7,13,0,0,0,7.18181818181818,38,79,1,1,10,0.818181818181818,3,9,2.27272727272727,8,25,0.740384615384615,3,77,74.9,277,749,2.08653846153846,9,217
0,"0",0,0,0,0.74,5,111,1.80666666666667,13,271,1.02,3,153,13,3.69230769230769,10,48,0,0,0,11.4615384615385,24,149,1,1,13,1,5,13,0.0769230769230769,1,1,0.466666666666667,2,70,52.9230769230769,112,688,1.26666666666667,9,190
0,"0",0,0,0,5.29411764705882,34,90,9.29411764705882,60,158,1.58823529411765,4,27,1,4,5,8,0,0,0,8.5,11,17,1,1,1,0,0,0,0,0,0,0.529411764705882,2,9,221,221,221,2.94117647058824,17,50
0,"0",0,0,0,2.17647058823529,8,74,3.70588235294118,19,126,1.41176470588235,4,48,5,0.4,1,2,0,0,0,4,8,20,1,1,5,1.8,9,9,2.8,14,14,0.647058823529412,3,22,48.6,126,243,1.55882352941176,5,53
1,"1",0,0,0,6.94972067039106,103,1244,11.5474860335196,205,2067,1.94972067039106,9,349,14,1.19047619047619,7,25,0.142857142857143,1,2,7,31,147,0.857142857142857,1,12,2.85714285714286,26,60,1.52380952380952,14,32,1.73743016759777,6,311,201.5,937,2821,3.37988826815642,49,605
0,"0",0,0,0,12.8,26,64,38.4,94,192,2.8,4,14,1,0,0,0,0,0,0,0,0,0,1,1,1,15,15,15,5,5,5,0.6,2,3,225,225,225,11,28,55
